id,teks,topik
IND1,MAKHLUK HIDUP ADALAH OBJEK KAJIAN UTAMA DALAM BIDANG BIOLOGI.,biologi
IND2,Biologi seluler = cabang biologi yang mempelajari struktur dan fungsi sel-sel dalam makhluk hidup.,biologi
IND3,Apa Saja Jenis-Jenis Sel yang Ada pada Makhluk Hidup?,sel
IND4,Sel merupakan istilah biologi untuk unit dasar dari kehidupan.,sel
IND5,Inti sel mengandung materi genetik dalam bentuk DNA.,dna
IND6,Gen adalah instruksi yang disimpan dalam DNA suatu sel.,dna
IND7,Mengapa sel disebut sebagai unit terkecil yang menyusun tubuh makhluk hidup?,sel
IND8,"Dalam biologi perkembangan, diferensiasi sel adalah proses di mana sel-sel mengembangkan fungsi spesifik.",biologi
IND9,"Makhluk hidup uniseluler adalah makhluk hidup yang hanya memilki sebuah sel tunggal, sedangkan multiseluler adalah makhluk hidup atau organisme yang memiliki lebih dari satu sel.",sel
IND10,BIOKIMIA ADALAH CABANG BIOLOGI YANG MEMPELAJARI KIMIA DASAR DALAM KEHIDUPAN MAKHLUK HIDUP.,biologi
IND11,Mengapa studi tentang biologi dapat membantu kita memahami cara kerja berbagai sistem dalam makhluk hidup?,biologi
IND12,Evolusi adalah proses utama dalam biologi yang menjelaskan perubahan dalam populasi makhluk hidup dari waktu ke waktu.,evolusi
IND13,PROSES EVOLUSI TELAH MEMBENTUK BERAGAMNYA JENIS SEL YANG ADA DI DUNIA INI.,evolusi
IND14,Evolusi SEL TELAH MENGHASILKAN ORGANEL-ORGANEL KOMPLEKS SEPERTI MITOKONDRIA DAN KLOROPLAS.,evolusi
IND15,Penelitian TERBARU MENUNJUKKAN BAHWA EVOLUSI SEL TERUS BERLANJUT DALAM RESPONS TERHADAP TEKANAN SELEKSI DAN LINGKUNGAN YANG BERUBAH.,evolusi